City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chowchilla,US,37.123,-120.2602,100.02,29,0,10.36,clear sky
2,Sitka,US,57.0531,-135.33,57.09,77,100,10.36,overcast clouds
3,Fairbanks,US,64.8378,-147.7164,80.46,43,100,0.0,smoke
6,Lompoc,US,34.6391,-120.4579,89.74,57,0,13.8,clear sky
7,Marysville,US,48.0518,-122.1771,74.17,78,100,4.61,overcast clouds
8,Carlyle,US,38.6103,-89.3726,83.25,45,16,12.57,few clouds
10,Jonesboro,US,35.8423,-90.7043,89.37,59,20,11.16,few clouds
11,Hilo,US,19.7297,-155.09,81.25,75,100,8.01,overcast clouds
13,Palmer,US,42.1584,-72.3287,74.62,74,100,9.22,overcast clouds
18,Kodiak,US,57.79,-152.4072,49.51,93,100,5.75,overcast clouds
22,Barrow,US,71.2906,-156.7887,37.42,93,100,4.61,fog
24,Kahului,US,20.8947,-156.47,86.02,57,20,11.5,few clouds
26,Fortuna,US,40.5982,-124.1573,65.32,82,40,18.41,scattered clouds
29,Rock Falls,US,41.7798,-89.689,73.38,49,0,4.61,clear sky
33,College,US,64.8569,-147.8028,80.46,44,100,0.0,smoke
35,Hobbs,US,32.7026,-103.136,96.89,21,0,16.11,clear sky
36,Vermilion,US,40.1667,-87.7506,76.6,56,0,14.97,clear sky
37,Van Wert,US,40.8695,-84.5841,74.21,54,40,11.5,scattered clouds
38,Hamilton,US,39.1834,-84.5333,82.38,51,0,8.99,clear sky
41,Merrill,US,45.1805,-89.6835,73.89,41,0,9.22,clear sky
42,Vicksburg,US,32.3526,-90.8779,93.43,75,0,8.05,clear sky
45,Abilene,US,32.4487,-99.7331,99.88,32,0,13.8,clear sky
46,Moses Lake,US,47.1301,-119.2781,83.08,32,20,11.5,few clouds
47,Elko,US,41.0002,-115.5012,86.05,20,54,14.0,broken clouds
49,Dickinson,US,29.4608,-95.0513,97.12,64,40,3.44,scattered clouds
50,Mastic Beach,US,40.7668,-72.8521,75.34,91,100,6.91,mist
51,Jamestown,US,42.097,-79.2353,62.02,79,100,12.66,overcast clouds
52,Fairhope,US,30.523,-87.9033,82.15,86,75,8.05,broken clouds
55,Kapaa,US,22.0752,-159.319,82.72,75,20,12.66,light rain
57,Sterling,US,39.0062,-77.4286,94.68,63,75,8.05,broken clouds
59,Silver City,US,32.7701,-108.2803,91.02,34,75,17.27,broken clouds
60,Rapid Valley,US,44.0625,-103.1463,92.43,39,0,25.32,clear sky
61,Sheridan,US,44.8333,-106.9173,98.31,28,23,1.99,few clouds
62,Mountain Home,US,43.133,-115.6912,83.68,28,40,14.97,scattered clouds
64,Houma,US,29.5958,-90.7195,97.0,55,67,9.98,broken clouds
66,Socorro,US,31.6546,-106.3033,91.38,48,75,9.22,broken clouds
69,Sunrise Manor,US,36.2111,-115.0731,109.4,3,0,23.02,clear sky
71,Uvalde,US,29.3669,-99.767,97.41,34,75,12.66,broken clouds
73,Fort Smith,US,35.3859,-94.3986,88.34,61,0,9.22,clear sky
74,Kenai,US,60.5544,-151.2583,61.02,77,100,5.75,light rain
75,Cheyenne,US,41.14,-104.8203,82.98,42,20,10.36,few clouds
76,Pacific Grove,US,36.6177,-121.9166,79.65,67,0,10.36,clear sky
79,Eureka,US,40.8021,-124.1637,70.2,79,47,5.01,scattered clouds
82,Ahuimanu,US,21.4447,-157.8378,83.91,58,100,16.11,overcast clouds
83,Taos,US,36.4072,-105.5731,83.19,52,20,10.36,few clouds
85,Ascension,US,30.2169,-90.9001,97.05,56,0,5.75,clear sky
90,San Angelo,US,31.4638,-100.437,101.37,32,0,7.0,clear sky
96,Bullhead City,US,35.1478,-114.5683,114.08,12,0,10.0,clear sky
97,Ketchikan,US,55.3422,-131.6461,57.67,82,100,11.5,light rain
98,Columbia,US,34.0007,-81.0348,95.0,60,75,5.75,light rain
100,Flagstaff,US,35.1981,-111.6513,88.84,33,0,12.66,clear sky
101,Kingsport,US,36.5484,-82.5618,82.96,94,100,0.0,thunderstorm
102,Bethel,US,41.3712,-73.414,74.64,93,75,5.75,mist
105,Searcy,US,35.2506,-91.7363,78.8,89,40,10.63,scattered clouds
106,Pacifica,US,37.6138,-122.4869,85.01,66,20,25.32,few clouds
107,Washougal,US,45.5826,-122.3534,79.2,55,100,5.01,overcast clouds
108,Kailua,US,21.4022,-157.7394,84.18,59,100,11.5,overcast clouds
109,Excelsior Springs,US,39.3392,-94.2261,79.5,48,95,9.22,overcast clouds
110,Brigantine,US,39.4101,-74.3646,84.4,80,0,10.36,clear sky
111,La Quinta,US,33.6634,-116.31,111.56,11,0,3.44,clear sky
112,Oil City,US,41.4339,-79.7064,63.41,70,100,13.8,overcast clouds
113,New Richmond,US,45.123,-92.5366,72.93,40,0,0.0,clear sky
114,Winnemucca,US,40.973,-117.7357,84.25,21,0,11.5,clear sky
115,Batavia,US,41.85,-88.3126,73.54,52,20,9.22,few clouds
116,Hailey,US,43.5196,-114.3153,82.8,31,100,16.58,overcast clouds
117,Muskego,US,42.9058,-88.139,70.41,62,0,7.38,clear sky
120,Cedar City,US,37.6775,-113.0619,92.37,17,0,24.16,clear sky
122,Central Point,US,42.376,-122.9164,85.62,32,0,8.05,clear sky
123,Price,US,39.5994,-110.8107,89.11,18,40,12.66,scattered clouds
124,Saint Simons,US,31.1352,-81.3901,89.65,72,0,13.8,clear sky
128,Tracy,US,37.7397,-121.4252,97.05,29,0,5.99,clear sky
130,North Bend,US,43.4065,-124.2243,78.98,77,0,12.66,clear sky
131,Orangeburg,US,33.4918,-80.8557,95.29,65,80,4.0,broken clouds
135,Half Moon Bay,US,37.4636,-122.4286,87.42,55,0,25.32,clear sky
136,Miles City,US,46.4083,-105.8406,88.77,35,0,17.27,clear sky
137,Pahrump,US,36.2083,-115.9839,102.25,9,0,10.0,clear sky
139,Brownwood,US,31.7093,-98.9912,100.4,41,40,8.05,scattered clouds
143,Long Beach,US,33.767,-118.1892,94.12,61,0,13.8,clear sky
149,Rancho Palos Verdes,US,33.7445,-118.387,86.32,73,20,13.8,few clouds
153,Bismarck,US,46.8083,-100.7837,73.87,54,40,24.16,scattered clouds
154,Redmond,US,47.674,-122.1215,75.72,69,88,1.99,overcast clouds
155,Englewood,US,39.6478,-104.9878,88.97,40,75,9.22,broken clouds
160,Susanville,US,40.4163,-120.653,85.82,26,100,4.0,overcast clouds
161,Mayo,US,38.8876,-76.5119,91.51,73,75,13.8,broken clouds
162,Saint George,US,37.1041,-113.5841,106.41,9,0,12.66,clear sky
167,Post Falls,US,47.718,-116.9516,75.76,56,75,10.36,broken clouds
168,Powell,US,40.1578,-83.0752,78.8,51,0,13.8,clear sky
169,Oak Ridge,US,36.0104,-84.2696,92.01,61,40,5.75,scattered clouds
171,Great Falls,US,47.5002,-111.3008,72.37,51,100,9.22,overcast clouds
172,El Centro,US,32.792,-115.563,111.18,17,75,9.22,broken clouds
173,Fayetteville,US,35.0527,-78.8784,83.59,85,20,6.91,few clouds
178,Pecos,US,31.4229,-103.4932,100.49,27,40,16.11,scattered clouds
183,Martin,US,27.0837,-80.4164,83.93,63,39,6.06,scattered clouds
184,Key West,US,24.5557,-81.7826,86.0,70,20,8.05,few clouds
185,Yarmouth,US,41.7057,-70.2286,72.14,94,100,19.57,moderate rain
186,Saint Pete Beach,US,27.7253,-82.7412,78.82,89,100,6.91,overcast clouds
187,Callaway,US,30.153,-85.5699,87.85,82,40,10.36,scattered clouds
188,Laredo,US,27.5064,-99.5075,97.09,44,75,18.41,moderate rain
189,Columbus,US,39.9612,-82.9988,81.12,45,20,18.41,few clouds
190,Shasta Lake,US,40.6804,-122.3708,97.36,22,54,4.25,broken clouds
193,Valley,US,45.1277,-116.1262,63.21,48,44,9.4,scattered clouds
194,Stephenville,US,32.2207,-98.2023,98.15,42,40,8.05,scattered clouds
196,Dyersburg,US,36.0345,-89.3856,91.31,62,20,10.36,few clouds
199,Corning,US,42.1428,-77.0547,71.44,58,45,5.99,scattered clouds
200,Rio Rancho,US,35.2334,-106.6645,92.8,34,0,4.0,clear sky
202,Gillette,US,44.2911,-105.5022,88.72,28,40,24.16,scattered clouds
206,Juneau,US,58.3019,-134.4197,64.4,88,75,11.5,light rain
207,Coldwater,US,41.9403,-85.0005,71.46,56,0,11.41,clear sky
208,Scottsbluff,US,41.8666,-103.6672,88.92,40,0,24.16,clear sky
209,Homer,US,59.6425,-151.5483,61.03,64,75,4.61,light rain
211,Lamesa,US,32.7376,-101.951,98.53,23,12,15.01,few clouds
214,Junction City,US,39.0286,-96.8314,77.14,65,0,12.66,clear sky
215,Truth Or Consequences,US,33.1284,-107.2528,98.91,28,40,14.7,light rain
218,Coos Bay,US,43.3665,-124.2179,79.05,77,0,12.66,clear sky
219,Rock Springs,US,41.5875,-109.2029,87.04,29,75,9.22,broken clouds
221,Orange Cove,US,36.6244,-119.3137,100.6,18,0,8.05,clear sky
223,El Sobrante,US,37.9772,-122.2953,92.48,50,0,3.0,clear sky
226,Steubenville,US,40.3698,-80.634,79.12,61,0,5.01,clear sky
227,Houston,US,29.7633,-95.3633,98.33,58,0,5.75,clear sky
230,Nantucket,US,41.2835,-70.0995,72.14,97,100,21.85,moderate rain
232,Elizabeth City,US,36.2946,-76.2511,87.8,74,0,9.22,thunderstorm
233,Fountain,US,38.6822,-104.7008,89.65,42,0,21.85,clear sky
235,Tarpon Springs,US,28.1461,-82.7568,81.19,64,9,8.93,very heavy rain
236,Bartlesville,US,36.7473,-95.9808,87.03,69,94,1.99,overcast clouds
240,San Jacinto,US,33.7839,-116.9586,104.43,12,0,11.01,clear sky
241,Cadillac,US,44.2519,-85.4012,65.79,51,0,14.97,clear sky
243,Morristown,US,36.214,-83.2949,88.5,71,20,9.22,few clouds
244,Wright,US,45.1833,-93.9502,74.52,41,0,4.61,clear sky
252,Saint Paul,US,44.9444,-93.0933,75.42,40,0,5.75,clear sky
253,Maryville,US,35.7565,-83.9705,91.9,65,100,6.91,overcast clouds
255,Morgan City,US,29.6994,-91.2068,96.03,53,49,7.72,scattered clouds
257,Riverton,US,40.5219,-111.9391,98.71,15,0,18.01,clear sky
260,Austin,US,30.2672,-97.7431,99.37,49,40,10.36,scattered clouds
261,Pierre,US,44.3683,-100.351,77.86,50,20,18.41,few clouds
262,Dover,US,39.1582,-75.5244,89.2,79,99,5.77,overcast clouds
263,Green River,US,41.5286,-109.4662,87.98,26,81,7.0,broken clouds
264,Virginia Beach,US,36.8529,-75.978,80.02,95,100,9.22,thunderstorm
266,Huntington,US,38.4193,-82.4452,90.34,54,35,4.0,scattered clouds
267,Alpena,US,45.0617,-83.4327,64.72,57,0,10.36,clear sky
268,Meadow Lake,US,34.8014,-106.5436,91.78,33,0,12.1,clear sky
269,Roswell,US,34.0232,-84.3616,94.89,58,20,12.66,few clouds
271,Rolla,US,37.9514,-91.7713,80.67,58,0,9.22,clear sky
272,Key Largo,US,25.0865,-80.4473,82.4,70,100,13.0,overcast clouds
276,Raymondville,US,26.4815,-97.7831,93.31,52,25,17.2,scattered clouds
277,Brewster,US,41.3973,-73.6171,76.46,81,75,5.75,mist
278,Carbondale,US,37.7273,-89.2168,86.0,47,0,14.97,clear sky
281,Rye,US,40.9807,-73.6837,78.13,93,75,5.75,broken clouds
285,Bridgton,US,44.0548,-70.7128,82.26,72,93,10.45,overcast clouds
286,Morro Bay,US,35.3658,-120.8499,98.4,29,26,12.17,scattered clouds
288,Bloomingdale,US,27.8936,-82.2404,84.52,84,75,10.36,broken clouds
292,Hibbing,US,47.4272,-92.9377,71.55,35,40,8.05,scattered clouds
293,Shreveport,US,32.5251,-93.7502,98.82,55,0,8.05,clear sky
294,Polson,US,47.6936,-114.1632,67.48,73,83,1.99,broken clouds
295,Healdsburg,US,38.6105,-122.8692,98.11,30,0,1.99,clear sky
296,Jackson,US,42.4165,-122.8345,85.37,32,0,8.05,clear sky
299,Northport,US,33.229,-87.5772,92.12,67,0,8.05,clear sky
300,Alice,US,27.7523,-98.0697,94.44,52,40,14.97,scattered clouds
302,Hurricane,US,37.1753,-113.2899,104.47,11,4,11.01,clear sky
304,Cape Girardeau,US,37.3834,-89.7168,83.8,65,70,13.11,broken clouds
307,Montrose,US,38.4166,-108.2673,75.72,32,100,20.51,overcast clouds
309,Charleston,US,32.7766,-79.9309,90.32,73,0,12.66,clear sky
312,Stevens Point,US,44.5236,-89.5746,74.46,38,40,8.05,scattered clouds
313,Bend,US,44.0582,-121.3153,78.48,38,100,4.0,overcast clouds
316,Rockport,US,28.0206,-97.0544,91.45,81,0,12.66,clear sky
317,Hoquiam,US,46.9809,-123.8893,72.95,84,100,11.5,overcast clouds
319,Wasilla,US,61.5814,-149.4394,63.21,77,100,10.36,light rain
321,Havelock,US,34.8791,-76.9013,85.95,83,75,12.66,broken clouds
322,Altamont,US,42.2068,-121.7372,77.4,34,40,8.05,scattered clouds
324,Seminole,US,28.7086,-81.2081,89.08,73,20,11.5,few clouds
326,Troy,US,42.6056,-83.1499,68.88,64,75,10.36,broken clouds
329,Melville,US,40.7934,-73.4151,74.97,93,100,3.0,light rain
331,Newport News,US,36.9788,-76.428,79.99,93,100,9.22,mist
332,Sheboygan,US,43.7333,-87.9334,69.78,56,0,5.75,clear sky
333,Martinsville,US,36.6915,-79.8725,88.21,65,100,6.91,overcast clouds
334,Cortez,US,37.3489,-108.5859,86.76,33,75,0.0,broken clouds
335,Ukiah,US,39.1502,-123.2078,90.16,31,0,10.36,clear sky
336,Galveston,US,29.3669,-94.9669,97.02,66,2,11.05,clear sky
340,Sanford,US,28.8006,-81.2731,89.98,74,20,11.5,few clouds
341,Norton Shores,US,43.1689,-86.2639,70.99,55,20,13.8,few clouds
343,Grand Forks,US,47.9417,-97.4337,73.33,36,0,14.97,clear sky
344,Orchard Homes,US,46.8633,-114.0484,71.6,61,92,4.0,overcast clouds
347,Grafton,US,42.207,-71.6856,76.68,92,75,12.66,broken clouds
349,Los Alamos,US,35.8881,-106.307,83.05,46,3,3.0,clear sky
350,Grants,US,35.1473,-107.8514,85.84,26,2,13.87,clear sky
351,Guymon,US,36.6828,-101.4816,84.2,70,20,9.22,few clouds
352,Palm Valley,US,30.1775,-81.3876,92.01,68,53,10.02,broken clouds
353,Fort Morgan,US,40.2503,-103.8,90.25,45,0,19.57,clear sky
354,Spring Valley,US,36.108,-115.245,107.46,7,20,18.41,few clouds
355,Black Diamond,US,47.3087,-122.0032,74.95,66,67,1.99,broken clouds
356,Corsicana,US,32.0954,-96.4689,97.68,53,20,9.22,few clouds
357,Monroe,US,43.1501,-77.6831,67.82,73,98,15.5,overcast clouds
358,Clifton,US,40.8584,-74.1638,79.54,88,75,10.36,broken clouds
359,Plainview,US,40.7765,-73.4673,75.79,88,100,1.99,light rain
361,Wilmington,US,34.2257,-77.9447,85.95,77,88,3.0,overcast clouds
362,Jasper,US,37.2001,-94.3502,83.64,67,0,9.22,clear sky
365,Cloquet,US,46.7216,-92.4594,72.64,36,0,0.0,clear sky
366,Jacksonville,US,30.3322,-81.6556,92.01,67,20,12.66,few clouds
367,Freeport,US,40.6576,-73.5832,76.51,86,100,9.22,thunderstorm
369,Storm Lake,US,42.6411,-95.2097,74.44,46,0,6.91,clear sky
370,Greece,US,43.2098,-77.6931,68.02,74,92,8.01,overcast clouds
372,Bernalillo,US,35.05,-106.6673,93.99,35,40,9.22,scattered clouds
373,Cedar Falls,US,42.5278,-92.4455,75.02,47,0,3.44,clear sky
374,Miramar,US,25.9873,-80.2323,83.01,82,100,4.61,overcast clouds
375,Princeton,US,25.5384,-80.4089,82.4,87,100,9.22,light intensity drizzle
379,Cedar Lake,US,41.3648,-87.4411,70.18,60,0,13.76,clear sky
381,Helena,US,46.5927,-112.0361,68.25,63,100,4.0,light rain
382,Merritt Island,US,28.5392,-80.672,88.05,77,40,9.22,haze
383,Back Mountain,US,41.3359,-75.9963,84.06,65,47,14.61,scattered clouds
384,Endicott,US,42.0984,-76.0494,72.88,76,100,17.27,overcast clouds
385,Casper,US,42.8666,-106.3131,82.99,21,100,29.93,overcast clouds
386,Aransas Pass,US,27.9095,-97.15,91.44,77,0,12.66,clear sky
388,Onalaska,US,43.8844,-91.2351,73.26,43,0,8.05,clear sky
389,Steamboat Springs,US,40.485,-106.8317,84.34,38,0,6.91,clear sky
390,Saint Andrews,US,34.0454,-81.1293,95.09,60,75,5.75,thunderstorm
391,Tucumcari,US,35.1717,-103.725,94.84,24,40,17.27,scattered clouds
392,Rapid City,US,44.0805,-103.231,93.25,37,0,25.32,clear sky
395,Mayfield,US,36.7417,-88.6367,87.93,61,0,9.22,clear sky
396,Mendota,US,36.7536,-120.3816,93.47,14,0,7.54,clear sky
399,Clinton,US,42.587,-82.9199,69.22,65,75,10.36,broken clouds
400,Madison Heights,US,42.4859,-83.1052,69.21,62,75,10.36,broken clouds
401,Port Hueneme,US,34.1478,-119.1951,93.52,57,0,9.22,clear sky
403,Nampa,US,43.5407,-116.5635,84.7,35,0,11.5,clear sky
405,Rawlins,US,41.7911,-107.2387,84.09,24,40,14.97,scattered clouds
407,Bellevue,US,47.6104,-122.2007,75.83,64,100,11.5,overcast clouds
408,Bon Air,US,37.5249,-77.5578,88.92,68,92,10.0,overcast clouds
409,Tallahassee,US,30.4383,-84.2807,91.85,77,75,8.05,broken clouds
410,Billings,US,45.7833,-108.5007,87.51,37,40,10.36,scattered clouds
412,Okmulgee,US,35.6234,-95.9605,91.51,52,0,6.91,clear sky
414,Atlantic City,US,39.3643,-74.4229,84.38,76,0,10.36,clear sky
416,Beatrice,US,40.2681,-96.747,77.18,50,40,14.97,scattered clouds
